name,brand,category,barcode,quantity,cost_price,selling_price,reorder_level,supplier,location,notes
"Basmati Rice 1kg","India Gate","Rice & Grains","8901030875391",50,"120.00","150.00",10,"Local Supplier","Aisle 1, Shelf 2","Premium quality basmati rice"
"Tata Salt 1kg","Tata","Spices & Condiments","8901030800009",100,"25.00","30.00",20,"Salt Distributor","Aisle 2, Shelf 1","Iodized salt"
"Amul Milk 500ml","Amul","Dairy","8901020200005",200,"30.00","35.00",50,"Dairy Supplier","Refrigerated Section","Full cream milk"
"Fortune Sunflower Oil 1L","Fortune","Cooking Oil","8901030867200",75,"180.00","200.00",15,"Oil Distributor","Aisle 3, Shelf 1","Refined sunflower oil"
"MDH Turmeric Powder 100g","MDH","Spices & Condiments","8901020201234",150,"45.00","55.00",25,"Spice Supplier","Aisle 2, Shelf 3","Pure turmeric powder"
"Maggi 2-Minute Noodles 70g","Maggi","Snacks","8901030875123",300,"12.00","15.00",50,"Noodle Distributor","Aisle 4, Shelf 2","Masala flavor instant noodles"
"Britannia Good Day Biscuits 100g","Britannia","Snacks","8901030867456",200,"25.00","30.00",40,"Biscuit Supplier","Aisle 4, Shelf 1","Butter cookies"
"Parle-G Biscuits 100g","Parle","Snacks","8901030867890",500,"10.00","12.00",100,"Biscuit Supplier","Aisle 4, Shelf 1","Glucose biscuits"
"Red Label Tea 250g","Tata","Beverages","8901030867123",80,"120.00","140.00",20,"Tea Distributor","Aisle 5, Shelf 1","Premium tea leaves"
"Surf Excel Matic 1kg","Surf","Household","8901030867456",60,"180.00","200.00",15,"Detergent Supplier","Aisle 6, Shelf 2","Front load washing powder"



